Start Time,Stop Time,Start Station ID,Start Station Name,End Station ID,End Station Name,Bike ID,User Type,Birth Year,Age,Age Groups,Trip Duration,Trip_Duration_in_min,Month,Season,Temperature,Weekday
2017-01-01 20:03:00,2017-01-01 20:06:00,3272,Jersey & 3rd,3203,Hamilton Park,26271,Subscriber,1984,37,35-44,164,3,1,Winter,10,Sunday
2017-01-01 20:23:00,2017-01-01 20:33:00,3267,Morris Canal,3186,Grove St PATH,24492,Subscriber,1983,38,35-44,593,10,1,Winter,10,Sunday
2017-01-01 20:27:00,2017-01-01 20:37:00,3279,Dixon Mills,3279,Dixon Mills,24464,Subscriber,1989,32,25-34,574,10,1,Winter,10,Sunday
2017-01-01 20:49:00,2017-01-01 20:57:00,3272,Jersey & 3rd,3276,Marin Light Rail,24563,Subscriber,1976,45,45-54,473,8,1,Winter,10,Sunday
2017-01-01 21:01:00,2017-01-01 21:04:00,3183,Exchange Place,3267,Morris Canal,26241,Subscriber,1983,38,35-44,159,3,1,Winter,10,Sunday
2017-01-01 21:03:00,2017-01-01 21:11:00,3186,Grove St PATH,3192,Liberty Light Rail,24511,Subscriber,1990,31,25-34,493,8,1,Winter,10,Sunday
2017-01-01 21:13:00,2017-01-01 21:16:00,3267,Morris Canal,3267,Morris Canal,26294,Subscriber,1985,36,35-44,157,3,1,Winter,10,Sunday
2017-01-01 22:01:00,2017-01-01 22:04:00,3186,Grove St PATH,3270,Jersey & 6th St,24497,Subscriber,1984,37,35-44,197,3,1,Winter,10,Sunday
2017-01-01 22:11:00,2017-01-01 22:23:00,3186,Grove St PATH,3277,Communipaw & Berry Lane,24710,Subscriber,1987,34,25-34,707,12,1,Winter,10,Sunday
2017-01-01 22:13:00,2017-01-01 22:18:00,3187,Warren St,3185,City Hall,26228,Subscriber,1983,38,35-44,307,5,1,Winter,10,Sunday
2017-01-01 23:13:00,2017-01-01 23:17:00,3186,Grove St PATH,3270,Jersey & 6th St,24663,Subscriber,1960,61,55-64,225,4,1,Winter,10,Sunday
2017-01-01 23:53:00,2017-01-01 23:58:00,3185,City Hall,3184,Paulus Hook,24684,Subscriber,1990,31,25-34,309,5,1,Winter,10,Sunday
2017-01-02 07:51:00,2017-01-02 07:56:00,3214,Essex Light Rail,3275,Columbus Drive,26268,Subscriber,1983,38,35-44,307,5,1,Winter,12,Monday
2017-01-02 08:43:00,2017-01-02 08:48:00,3213,Van Vorst Park,3187,Warren St,24680,Subscriber,1983,38,35-44,289,5,1,Winter,12,Monday
2017-01-02 08:48:00,2017-01-02 08:56:00,3195,Sip Ave,3280,Astor Place,26213,Subscriber,1992,29,25-34,427,7,1,Winter,12,Monday
2017-01-02 09:15:00,2017-01-02 09:18:00,3214,Essex Light Rail,3183,Exchange Place,24416,Subscriber,1960,61,55-64,176,3,1,Winter,12,Monday
2017-01-02 09:30:00,2017-01-02 09:33:00,3213,Van Vorst Park,3186,Grove St PATH,26301,Subscriber,1956,65,65-74,173,3,1,Winter,12,Monday
2017-01-02 10:04:00,2017-01-02 10:12:00,3267,Morris Canal,3187,Warren St,26219,Subscriber,1983,38,35-44,447,7,1,Winter,12,Monday
2017-01-02 10:19:00,2017-01-02 10:24:00,3186,Grove St PATH,3203,Hamilton Park,24662,Subscriber,1980,41,35-44,265,4,1,Winter,12,Monday
2017-01-02 10:29:00,2017-01-02 10:32:00,3276,Marin Light Rail,3186,Grove St PATH,24563,Subscriber,1980,41,35-44,187,3,1,Winter,12,Monday
2017-01-02 10:40:00,2017-01-02 10:44:00,3267,Morris Canal,3275,Columbus Drive,26262,Subscriber,1969,52,45-54,224,4,1,Winter,12,Monday
2017-01-02 11:28:00,2017-01-02 11:37:00,3206,Hilltop,3213,Van Vorst Park,26255,Subscriber,1983,38,35-44,548,9,1,Winter,12,Monday
2017-01-02 11:41:00,2017-01-02 11:50:00,3196,Riverview Park,3269,Brunswick & 6th,24675,Subscriber,1968,53,45-54,549,9,1,Winter,12,Monday
2017-01-02 11:41:00,2017-01-02 11:49:00,3278,Monmouth and 6th,3220,5 Corners Library,24600,Subscriber,1981,40,35-44,479,8,1,Winter,12,Monday
2017-01-02 11:41:00,2017-01-02 11:49:00,3278,Monmouth and 6th,3220,5 Corners Library,24600,Subscriber,1981,40,35-44,479,8,1,Winter,12,Monday
2017-01-02 11:52:00,2017-01-02 11:55:00,3203,Hamilton Park,3211,Newark Ave,26270,Subscriber,1974,47,45-54,199,3,1,Winter,12,Monday
2017-01-02 12:34:00,2017-01-02 12:37:00,3183,Exchange Place,3267,Morris Canal,26256,Subscriber,1984,37,35-44,238,4,1,Winter,12,Monday
2017-01-02 12:53:00,2017-01-02 12:57:00,3269,Brunswick & 6th,3211,Newark Ave,24675,Subscriber,1976,45,45-54,238,4,1,Winter,12,Monday
2017-01-02 14:06:00,2017-01-02 14:15:00,3206,Hilltop,3210,Pershing Field,24641,Subscriber,1968,53,45-54,488,8,1,Winter,12,Monday
2017-01-02 14:24:00,2017-01-02 14:36:00,3225,Baldwin at Montgomery,3187,Warren St,24520,Subscriber,1987,34,25-34,732,12,1,Winter,12,Monday
